painel,rotulo_projeto,LOINC_NUM,LONG_COMMON_NAME,SHORTNAME,DisplayName,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,STATUS,EXAMPLE_UCUM_UNITS,COMMON_TEST_RANK,ptBR_COMPONENT,ptBR_PROPERTY,ptBR_TIME_ASPCT,ptBR_SYSTEM,ptBR_SCALE_TYP,ptBR_METHOD_TYP,ptBR_SHORTNAME,ptBR_RELATEDNAMES2
Eletrolitos,Cloro,2075-0,Chloride [Moles/volume] in Serum or Plasma,Chloride SerPl-sCnc,Chloride [Moles/Vol],Chloride,SCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE,mmol/L,8,Cloreto,SCnc,Pt,Sor/Plas,Qn,,Chloride SerPl-sCnc,Cl-; Cl; Substance concentration; Level; Point in time; Random; SerPl; SerPlas; SerP; Serum; SR; Plasma; Pl; Plsm; Quantitative; QNT; Quant; Quan; Chemistry
Eletrolitos,Calcio total,17861-6,Calcium [Mass/volume] in Serum or Plasma,Calcium SerPl-mCnc,Calcium [Mass/Vol],Calcium,MCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE,mg/dL,10,Cálcio,MCnc,Pt,Sor/Plas,Qn,,Cálcio SerPl-mCnc,Cal; Ca; Mass concentration; Level; Point in time; Random; SerPl; SerPlas; SerP; Serum; SR; Plasma; Pl; Plsm; Quantitative; QNT; Quant; Quan; Chemistry
Eletrolitos,Calcio ionico,1995-0,Calcium.ionized [Moles/volume] in Serum or Plasma,Ca-I SerPl-sCnc,Calcium.ionized [Moles/Vol],Calcium.ionized,SCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE,mmol/L,637,Cálcio.ionizado,SCnc,Pt,Sor/Plas,Qn,,Ca-I SerPl-sCnc,; Ca-I; Calcium free; iCa; Calcium active; Coagulation factor I; Cal; Ca; Substance concentration; Level; Point in time; Random; SerPl; SerPlas; SerP; Serum; SR; Plasma; Pl; Plsm; Quantitative; QNT; Quant; Quan; Ion; Chemistry
Eletrolitos,Magnesio,19123-9,Magnesium [Mass/volume] in Serum or Plasma,Magnesium SerPl-mCnc,Magnesium [Mass/Vol],Magnesium,MCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE,mg/dL,51,Magnésio,MCnc,Pt,Sor/Plas,Qn,,Magnesium SerPl-mCnc,MAG; Magnes; Mg; Mass concentration; Level; Point in time; Random; SerPl; SerPlas; SerP; Serum; SR; Plasma; Pl; Plsm; Quantitative; QNT; Quant; Quan; Chemistry
Eletrolitos,Fosforo,2777-1,Phosphate [Mass/volume] in Serum or Plasma,Phosphate SerPl-mCnc,Phosphate [Mass/Vol],Phosphate,MCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE,mg/dL,55,Fósforo,MCnc,Pt,Sor/Plas,Qn,,Phosphate SerPl-mCnc,Phos; Phosphrous; Phosphorous; Pi; i Phos; PO4; Phosphorus; Inorganic phosphate; Phosphate total; Mass concentration; Level; Point in time; Random; SerPl; SerPlas; SerP; Serum; SR; Plasma; Pl; Plsm; Quantitative; QNT; Quant; Quan; Chemistry
Tireoide,TSH,3016-3,Thyrotropin [Units/volume] in Serum or Plasma,TSH SerPl-aCnc,TSH Qn,Thyrotropin,ACnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE,m[IU]/L,100,Tirotropina,ACnc,Pt,Sor/Plas,Qn,,TSH SerPl-aCnc,; TSH; Thyrotropic hormone; Thyroid stimulating hormone; Arbitrary concentration; Point in time; Random; SerPl; SerPlas; SerP; Serum; SR; Plasma; Pl; Plsm; Quantitative; QNT; Quant; Quan; Chemistry
Tireoide,T4 livre,3024-7,Thyroxine (T4) free [Mass/volume] in Serum or Plasma,T4 Free SerPl-mCnc,Free T4 [Mass/Vol],Thyroxine.free,MCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE,ng/dL,134,Tiroxina.livre,MCnc,Pt,Sor/Plas,Qn,,T4 Free SerPl-mCnc,; T4 Free; T-4; FreeT4; Thyrox; Thyrx; Thyroxin; Levothyroxine; Levo-thyroxine; L-thyroxine; Mass concentration; Level; Point in time; Random; SerPl; SerPlas; SerP; Serum; SR; Plasma; Pl; Plsm; Quantitative; QNT; Quant; Quan; FT4; FR; Non-protein bound; Chemistry
Tireoide,T4 total,3026-2,Thyroxine (T4) [Mass/volume] in Serum or Plasma,T4 SerPl-mCnc,T4 [Mass/Vol],Thyroxine,MCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE,ug/dL,394,Tiroxina,MCnc,Pt,Sor/Plas,Qn,,T4 SerPl-mCnc,; T4; T-4; Thyrox; Thyrx; Thyroxin; Levothyroxine; Levo-thyroxine; L-thyroxine; Mass concentration; Level; Point in time; Random; SerPl; SerPlas; SerP; Serum; SR; Plasma; Pl; Plsm; Quantitative; QNT; Quant; Quan; Chemistry
Tireoide,T3 livre,3051-0,Triiodothyronine (T3) Free [Mass/volume] in Serum or Plasma,T3Free SerPl-mCnc,Free T3 [Mass/Vol],Triiodothyronine.free,MCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE,pg/mL,320,Triiodotironina.livre,MCnc,Pt,Sor/Plas,Qn,,T3Free SerPl-mCnc,; T3Free; Triodothyrne; T-3; FT3; T3; Mass concentration; Level; Point in time; Random; SerPl; SerPlas; SerP; Serum; SR; Plasma; Pl; Plsm; Quantitative; QNT; Quant; Quan; FR; Non-protein bound; Chemistry
Tireoide,T3 total,3053-6,Triiodothyronine (T3) [Mass/volume] in Serum or Plasma,T3 SerPl-mCnc,T3 [Mass/Vol],Triiodothyronine,MCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE,ng/dL,482,Triiodotironina,MCnc,Pt,Sor/Plas,Qn,,T3 SerPl-mCnc,; T3; Triodothyrne; T-3; FT3; Mass concentration; Level; Point in time; Random; SerPl; SerPlas; SerP; Serum; SR; Plasma; Pl; Plsm; Quantitative; QNT; Quant; Quan; Chemistry
Tireoide,Anti-TPO,8099-4,Thyroperoxidase Ab [Units/volume] in Serum or Plasma,Thyroperoxidase Ab SerPl-aCnc,TPO Ab Qn,Thyroperoxidase Ab,ACnc,Pt,Ser/Plas,Qn,,SERO,ACTIVE,[IU]/mL,551,Tiroperoxidase Ac,ACnc,Pt,Soro,Qn,,Thyroperoxidase Ac Ser-aCnc,Thyroid Microsomal; Thyroid microsomes; Thyroid peroxidase; Iodide peroxidase; TPO; Arbitrary concentration; Point in time; Random; Serum; SR; Quantitative; QNT; Quant; Quan; Antibodies; Autoantibody; Antibody; Autoantibodies; Antby; Acy; Anti; Serology
Vitaminas,Vitamina D (25-OH),62292-8,25-Hydroxyvitamin D3+25-Hydroxyvitamin D2 [Mass/volume] in Serum or Plasma,25(OH)D3+25(OH)D2 SerPl-mCnc,25-hydroxyvitamin D [Mass/Vol],Calcidiol+ercalcidiol,MCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE,ng/mL,194,25-Hidroxi vitamina D,,Pt,Soro/Plas,Qn,,,
Vitaminas,Vitamina B12,2132-9,Cobalamin (Vitamin B12) [Mass/volume] in Serum or Plasma,Vit B12 SerPl-mCnc,Cobalamin (Vitamin B12) [Mass/Vol],Cobalamins,MCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE,pg/mL,155,Cobalaminas,MCnc,Pt,Soro,Qn,,Vit B12 Ser-mCnc,; Vit B12; Cbl; Vitamin B12; Cobalamin; Mass concentration; Level; Point in time; Random; Serum; SR; Quantitative; QNT; Quant; Quan; Chemistry
Vitaminas,Acido folico,2284-8,Folate [Mass/volume] in Serum or Plasma,Folate SerPl-mCnc,Folate [Mass/Vol],Folate,MCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE,ng/mL,265,Folato,MCnc,Pt,Sor/Plas,Qn,,Folate SerPl-mCnc,Vit M; Pteroylglutamate; Folic acid; Vitamin M; Pteroylglutamic acid; Mass concentration; Level; Point in time; Random; SerPl; SerPlas; SerP; Serum; SR; Plasma; Pl; Plsm; Quantitative; QNT; Quant; Quan; Chemistry
Vitaminas,Vitamina C,1903-4,Ascorbate [Mass/volume] in Serum or Plasma,Vit C SerPl-mCnc,Ascorbate [Mass/Vol],Ascorbate,MCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE,mg/dL,2502,Ascorbato,MCnc,Pt,Sor/Plas,Qn,,Vit C SerPl-mCnc,; Vit C; Vitamin C; Ascorbic acid; Mass concentration; Level; Point in time; Random; SerPl; SerPlas; SerP; Serum; SR; Plasma; Pl; Plsm; Quantitative; QNT; Quant; Quan; Chemistry
